upstream_hotspot,downstream_hotspot,upstream_particles,downstream_particles,upstream_x_nm,upstream_y_nm,downstream_x_nm,downstream_y_nm,upstream_gap_nm,downstream_gap_nm,upstream_euclidean_nm,downstream_euclidean_nm,upstream_geodesic_nm,downstream_geodesic_nm,upstream_coordination,downstream_coordination,upstream_Etotal_components,downstream_Etotal_components,upstream_M2,downstream_M2,upstream_M4,downstream_M4,ratio,associated_branch,associated_loop,high_coordination,unusually_short_gap,destination_class
9,12,"[5, 39]","[6, 39]",70.93626816083695,13.59863591479846,82.38645655649711,12.082966584664888,2.5535227214779432,4.3582981106012895,331.17539563541123,335.1786171830614,216.07232708705382,227.62239495760844,"[4, 3]","[4, 3]","[np.float64(-0.0013401544434171102), np.float64(0.0031874797608392254), np.float64(-0.0058081202236770465), np.float64(0.003236319396100542), np.float64(0.0), np.float64(0.0)]","[np.float64(-0.002574635016924743), np.float64(-0.003079723318908257), np.float64(0.005970092752405516), np.float64(0.00621027211499424), np.float64(0.0), np.float64(0.0)]",5.616406492423319e-05,9.032292840600227e-05,3.154402188813481e-09,8.158231395835813e-09,2.5863003217432166,True,True,True,False,transition
9,77,"[5, 39]","[39, 73]",70.93626816083695,13.59863591479846,87.18685377205021,26.95882687778682,2.5535227214779432,1.657562869629853,331.17539563541123,350.5420718430117,216.07232708705382,237.1098230234738,"[4, 3]","[3, 3]","[np.float64(-0.0013401544434171102), np.float64(0.0031874797608392254), np.float64(-0.0058081202236770465), np.float64(0.003236319396100542), np.float64(0.0), np.float64(0.0)]","[np.float64(-0.011927061645685919), np.float64(-0.0002638142896452893), np.float64(-0.005520132462467067), np.float64(-0.0017660366101822497), np.float64(0.0), np.float64(0.0)]",5.616406492423319e-05,0.0001759151451910999,3.154402188813481e-09,3.094613830760576e-08,9.810460573908635,True,True,True,True,transition
11,10,"[6, 10]","[6, 7]",81.07119100207439,-7.909226311379995,99.12402260409115,3.6080553999537015,2.378620962607908,3.415378888241367,317.13101859995635,336.3216562234387,231.7068334352667,244.33233317005323,"[4, 4]","[4, 2]","[np.float64(-0.002451275627862013), np.float64(0.004991432959089738), np.float64(-0.006136118549447166), np.float64(0.006291752955453956), np.float64(0.0), np.float64(0.0)]","[np.float64(-0.013942958675962026), np.float64(0.00012784195757646228), np.float64(-0.0035945427585043167), np.float64(-0.0009394942456128965), np.float64(0.0), np.float64(0.0)]",0.00010816126129417083,0.0002082258272859573,1.1698858444745896e-08,4.335799514892132e-08,3.706173158150652,True,True,True,True,transition
12,10,"[6, 39]","[6, 7]",82.38645655649711,12.082966584664888,99.12402260409115,3.6080553999537015,4.3582981106012895,3.415378888241367,335.1786171830614,336.3216562234387,227.62239495760844,244.33233317005323,"[4, 3]","[4, 2]","[np.float64(-0.002574635016924743), np.float64(-0.003079723318908257), np.float64(0.005970092752405516), np.float64(0.00621027211499424), np.float64(0.0), np.float64(0.0)]","[np.float64(-0.013942958675962026), np.float64(0.00012784195757646228), np.float64(-0.0035945427585043167), np.float64(-0.0009394942456128965), np.float64(0.0), np.float64(0.0)]",9.032292840600227e-05,0.0002082258272859573,8.158231395835813e-09,4.335799514892132e-08,5.314631694689665,True,True,True,False,transition
10,13,"[6, 7]","[7, 8]",99.12402260409115,3.6080553999537015,120.51163253805333,10.283983597880368,3.415378888241367,1.584632114402151,336.3216562234387,353.6049661523817,244.33233317005323,266.7376422728349,"[4, 2]","[2, 3]","[np.float64(-0.013942958675962026), np.float64(0.00012784195757646228), np.float64(-0.0035945427585043167), np.float64(-0.0009394942456128965), np.float64(0.0), np.float64(0.0)]","[np.float64(-0.013588941988666517), np.float64(0.0007873528405085943), np.float64(-0.007291034771722891), np.float64(-0.0014523904747083401), np.float64(0.0), np.float64(0.0)]",0.0002082258272859573,0.0002405478950002967,4.335799514892132e-08,5.786328978907376e-08,1.3345471715269868,True,True,True,True,transition
12,11,"[6, 39]","[6, 10]",82.38645655649711,12.082966584664888,81.07119100207439,-7.909226311379995,4.3582981106012895,2.378620962607908,335.1786171830614,317.13101859995635,227.62239495760844,231.7068334352667,"[4, 3]","[4, 4]","[np.float64(-0.002574635016924743), np.float64(-0.003079723318908257), np.float64(0.005970092752405516), np.float64(0.00621027211499424), np.float64(0.0), np.float64(0.0)]","[np.float64(-0.002451275627862013), np.float64(0.004991432959089738), np.float64(-0.006136118549447166), np.float64(0.006291752955453956), np.float64(0.0), np.float64(0.0)]",9.032292840600227e-05,0.00010816126129417083,8.158231395835813e-09,1.1698858444745896e-08,1.4339944379019842,True,True,True,True,transition
11,19,"[6, 10]","[10, 21]",81.07119100207439,-7.909226311379995,85.06469125580878,-21.092613613837003,2.378620962607908,2.785116746716497,317.13101859995635,307.9249822606694,231.7068334352667,241.4774077920828,"[4, 4]","[4, 2]","[np.float64(-0.002451275627862013), np.float64(0.004991432959089738), np.float64(-0.006136118549447166), np.float64(0.006291752955453956), np.float64(0.0), np.float64(0.0)]","[np.float64(-0.016839926987147757), np.float64(-0.001615944149831416), np.float64(0.006824543251550407), np.float64(-0.00043653630740651095), np.float64(0.0), np.float64(0.0)]",0.00010816126129417083,0.00033295937096780803,1.1698858444745896e-08,1.1086194271527841e-07,9.476304311132843,True,True,True,True,transition
11,20,"[6, 10]","[10, 185]",81.07119100207439,-7.909226311379995,64.0160480863576,-21.336227079664162,2.378620962607908,2.662957410937352,317.13101859995635,297.0431583547155,231.7068334352667,236.1160545476853,"[4, 4]","[4, 1]","[np.float64(-0.002451275627862013), np.float64(0.004991432959089738), np.float64(-0.006136118549447166), np.float64(0.006291752955453956), np.float64(0.0), np.float64(0.0)]","[np.float64(-0.011007535572826872), np.float64(0.006733407539466408), np.float64(-0.006436834766939653), np.float64(0.0018016842756557626), np.float64(0.0), np.float64(0.0)]",0.00010816126129417083,0.00021118352452562038,1.1698858444745896e-08,4.4598481031063303e-08,3.8122079382106757,True,True,True,True,transition
12,77,"[6, 39]","[39, 73]",82.38645655649711,12.082966584664888,87.18685377205021,26.95882687778682,4.3582981106012895,1.657562869629853,335.1786171830614,350.5420718430117,227.62239495760844,237.1098230234738,"[4, 3]","[3, 3]","[np.float64(-0.002574635016924743), np.float64(-0.003079723318908257), np.float64(0.005970092752405516), np.float64(0.00621027211499424), np.float64(0.0), np.float64(0.0)]","[np.float64(-0.011927061645685919), np.float64(-0.0002638142896452893), np.float64(-0.005520132462467067), np.float64(-0.0017660366101822497), np.float64(0.0), np.float64(0.0)]",9.032292840600227e-05,0.0001759151451910999,8.158231395835813e-09,3.094613830760576e-08,3.7932410599926754,True,True,True,True,transition
14,15,"[8, 9]","[8, 15]",138.77419641684503,6.134876109631598,141.40982426007366,17.518905349870906,3.543836123631557,2.7341203350701093,360.8937935440844,371.5954421147588,285.46559817773783,288.85276176172175,"[3, 4]","[3, 5]","[np.float64(-0.006173345605856245), np.float64(-0.0056613070832639304), np.float64(0.007253946538303584), np.float64(0.00560899531149534), np.float64(0.0), np.float64(0.0)]","[np.float64(-0.012197676886164157), np.float64(-0.001210815688529449), np.float64(-0.0036292475672836497), np.float64(-0.0013429680600277182), np.float64(0.0), np.float64(0.0)]",0.00015424116264530218,0.00016522439716574127,2.379033625417456e-08,2.7299101418782613e-08,1.147486993337152,True,True,True,False,transition
