hotspot_id,particle_i,particle_j,x_nm,y_nm,gap_nm,radius_i_nm,radius_j_nm,coordination_i,coordination_j,euclidean_distance_nm,geodesic_distance_nm,geodesic_steps,Einc_x_real,Einc_x_imag,Einc_y_real,Einc_y_imag,Einc_z_real,Einc_z_imag,Escat_x_real,Escat_x_imag,Escat_y_real,Escat_y_imag,Escat_z_real,Escat_z_imag,Etotal_x_real,Etotal_x_imag,Etotal_y_real,Etotal_y_imag,Etotal_z_real,Etotal_z_imag,M2_inc,M2_scat,M2_total,M4,f_inc,f_scat,remote_classification
35,18,22,172.9124971842508,3.4877848551550112,4.971037679916861,10.0,10.0,3,4,380.4593420122258,325.3401798213482,15,1.6541298117526578e-21,0.0,0.0,0.0,0.0,0.0,0.0006191630384222451,0.0017260770205614175,-0.0006802712657735931,0.006325058968737366,0.0,0.0,0.0006191630384222451,0.0017260770205614175,-0.0006802712657735931,0.006325058968737366,0.0,0.0,2.7361454341288832e-42,4.383184470210065e-05,4.383184470210065e-05,1.9212306099890692e-09,6.242368882087577e-38,1.0,transition
36,19,23,74.32788064874426,-149.24678205586343,2.172092137061366,10.0,10.0,2,4,202.53560519169338,75.02877338402774,4,1.2904074727361982e-06,0.0,0.0,0.0,0.0,0.0,-0.01836263489259592,-0.001863184488453861,0.023275967298715887,-0.005051775691998117,0.0,0.0,-0.018361344485123183,-0.001863184488453861,0.023275967298715887,-0.005051775691998117,0.0,0.0,1.6651514456934221e-12,0.000907948907969951,0.0009079015190725332,8.242851683342134e-07,1.8340661522347242e-09,1.0000521960768016,transition
37,20,29,202.60245676588113,-20.48190555559495,3.0624038013434998,10.0,10.0,2,2,384.0283854280705,354.9772221555192,16,6.7118863796469695e-22,0.0,0.0,0.0,0.0,0.0,-0.0084101358118106,-0.006363219541189412,0.004797181987109384,0.0026242044706820088,0.0,0.0,-0.0084101358118106,-0.006363219541189412,0.004797181987109384,0.0026242044706820088,0.0,0.0,4.5049418773290506e-43,0.00014112035142386815,0.00014112035142386815,1.9914953585996046e-08,3.192269457860148e-39,1.0,transition
38,21,33,106.01615024272219,-30.212411578553727,2.946444660701175,10.0,10.0,2,3,312.17378110228276,264.3276670597053,12,1.0207104144523796e-14,0.0,0.0,0.0,0.0,0.0,-0.015916190672115367,-0.0019180298379122193,0.007719046328327224,-0.00016173997118236876,0.0,0.0,-0.01591619067210516,-0.0019180298379122193,0.007719046328327224,-0.00016173997118236876,0.0,0.0,1.0418497501715485e-28,0.00031661380000739387,0.000316613800007069,1.0024429835491627e-07,3.290601199784366e-25,1.000000000001026,transition
39,22,27,185.92862982291473,18.727481403347046,2.083208790941619,10.0,10.0,4,3,400.49851149862525,333.3880065315321,15,9.370442716152388e-24,0.0,0.0,0.0,0.0,0.0,-0.010454632558954074,-0.0034930810302756187,-0.0034624152390157984,-0.0027702901285887754,0.0,0.0,-0.010454632558954074,-0.0034930810302756187,-0.0034624152390157984,-0.0027702901285887754,0.0,0.0,8.780519669669334e-47,0.00014116378371073919,0.00014116378371073919,1.9927213831532352e-08,6.220093737117182e-43,1.0,transition
40,22,56,171.10496187226406,26.329995105852685,2.773573073633745,10.0,10.0,4,3,396.7324577147222,321.97784727841685,15,2.5282036688445257e-23,0.0,0.0,0.0,0.0,0.0,-0.0002644409031754498,-0.003549169224203149,0.0030464015416888485,0.00933540451040816,0.0,0.0,-0.0002644409031754498,-0.003549169224203149,0.0030464015416888485,0.00933540451040816,0.0,0.0,6.39181379115892e-46,0.00010909687089945623,0.00010909687089945623,1.190212724005262e-08,5.85884245667286e-42,1.0,transition
41,23,24,89.71501449182833,-166.0190256502811,4.363310405480171,10.0,10.0,4,3,204.4653271527,72.3368970027181,4,9.953330498931676e-07,0.0,0.0,0.0,0.0,0.0,-0.002941097726628124,0.010315037180991162,-0.00037815069002582733,-0.009069893973978253,0.0,0.0,-0.0029401023935782308,0.010315037180991162,-0.00037815069002582733,-0.009069893973978253,0.0,0.0,9.906878802096349e-13,0.00019745602252638125,0.00019745016877352855,3.898656914869491e-08,5.017407107643115e-09,1.0000296467351184,transition
42,23,30,72.97113726921049,-168.87804333911095,4.338554619088921,10.0,10.0,4,4,189.179001148063,55.350684753039175,3,7.27567925929173e-06,0.0,0.0,0.0,0.0,0.0,0.025848889673993496,0.012784130044459606,0.038550426836367994,0.02205217348185157,0.0,0.0,0.02585616535325279,0.012784130044459606,0.038550426836367994,0.02205217348185157,0.0,0.0,5.293550868408786e-11,0.0028040328429117817,0.0028044090323082445,7.864710020492065e-06,1.8875815929218377e-08,0.9998658578716125,transition
43,23,140,89.75707127287218,-152.18279330394716,3.8572226448320066,10.0,10.0,4,2,212.6384493703917,79.02554386797209,4,3.225060789429354e-07,0.0,0.0,0.0,0.0,0.0,0.020661928030518285,0.019285316943348924,0.011724354183716689,0.012802214404922067,0.0,0.0,0.02066225053659723,0.019285316943348924,0.011724354183716689,0.012802214404922067,0.0,0.0,1.0401017095514689e-13,0.0011001958942385673,0.0011002092215373627,1.2104603311558495e-06,9.453671985207473e-11,0.9999878865778122,transition
44,24,25,108.09302845006602,-181.39301280564115,3.670366039798033,10.0,10.0,3,2,212.1686555731943,96.297507973692,5,3.445006975880003e-07,0.0,0.0,0.0,0.0,0.0,-0.00012801961344115318,0.008682205718225543,-0.00300612774693664,-0.011799283765296445,0.0,0.0,-0.00012767511274356516,0.008682205718225543,-0.00300612774693664,-0.011799283765296445,0.0,0.0,1.1868073063861884e-13,0.00022365698655990457,0.00022365689847289306,5.0022408234513996e-08,5.30637469485444e-10,1.0000003938488466,transition
