particle_id,x_nm,y_nm,radius_nm,coordination
147,-282.5317735151235,14.842579222920415,10.0,2
148,-165.06894192836614,106.71736974782306,10.0,1
149,-61.53882986362444,180.75540676797746,10.0,2
150,-211.43484867895276,-105.9604579764036,10.0,2
151,364.8722159232303,132.63042949235847,10.0,1
152,-244.7209571119021,82.03709894396552,10.0,2
153,379.5716976183492,12.190570433021586,10.0,1
154,89.85339605414906,87.49301459486833,10.0,3
155,-209.20497029648288,-78.58139354889867,10.0,1
156,190.67186896666718,110.89777308196751,10.0,2
157,196.67327244178293,133.12379724115203,10.0,2
158,-226.4339635838584,-124.68398558471557,10.0,1
159,-74.00711484300464,200.63931035943827,10.0,1
160,-10.234243886646667,18.684640126583247,10.0,2
161,111.80282336418445,98.95698087735772,10.0,2
162,213.78025787720406,149.10768158588348,10.0,2
163,-76.3377025360432,-28.581967868901053,10.0,2
164,208.31837957386483,-146.36984069904676,10.0,2
165,-266.7681976692804,86.94455506463909,10.0,2
166,-80.6299442473195,-133.77965342793152,10.0,1
167,-426.1254972950511,25.642741307791628,10.0,2
168,-144.09387780087536,-162.98306756455742,10.0,2
169,-121.53328564931277,128.0686490005684,10.0,2
170,231.83041517934822,-151.28928494883675,10.0,2
171,-394.20061151476455,-68.19590207266634,10.0,2
172,-139.9114964701332,143.09317429566863,10.0,2
173,73.74627337992692,-67.70750793789958,10.0,3
174,-414.50300423162764,-60.75978608103886,10.0,2
175,-287.1904191866629,97.27643426891183,10.0,3
176,-157.20642764510742,-183.06138116260013,10.0,2
177,142.7442036565627,58.29803129241044,10.0,4
178,-308.12587608689887,103.83224647951832,10.0,3
179,-156.38844061566988,157.55582185248772,10.0,1
180,91.99404948349711,109.69974038247067,10.0,2
181,-376.26923134366774,-13.62489263058025,10.0,1
182,-21.65404169711677,186.98361808427907,10.0,1
183,-388.45538886654754,-94.47578877082051,10.0,1
184,-155.78328956296053,-204.90876918643423,10.0,1
185,-163.00699441550685,-56.830501235573166,10.0,1
186,-329.4604263921139,115.15613025086591,10.0,1
187,237.73574507727605,150.62793060294157,10.0,1
188,253.04471044039565,-159.1643198269859,10.0,1
189,299.00995090991137,39.848326404916236,10.0,3
190,-52.11260283268044,-126.95578752218965,10.0,1
191,-0.14345917390837692,-21.883826385381145,10.0,3
192,180.68633202227213,79.3536321804998,10.0,1
193,-443.9227047749553,38.93547553618751,10.0,1
194,9.148292081294532,-42.349181195907214,10.0,2
195,-303.3924267430492,82.62414549937876,10.0,2
196,-437.33555145044556,-57.06115943818804,10.0,1
197,-311.02001970130385,49.36057217087195,10.0,1
198,-2.2146345293174168,-60.72472205933413,10.0,1
199,219.71383198997643,24.976448613745845,10.0,2
