upstream_hotspot,downstream_hotspot,upstream_geodesic_nm,downstream_geodesic_nm,upstream_steps,downstream_steps,upstream_M4,downstream_M4,ratio,delta_log10_M4,upstream_particles,downstream_particles,upstream_coordination,downstream_coordination,upstream_gap_nm,downstream_gap_nm,near_branch,downstream_class
15,16,438.3964233822635,446.3763199658146,20,21,2.7299101418782613e-08,5.32571474043413e-09,0.19508754734212155,-0.7097704512267079,"[8, 15]","[9, 15]","[3, 5]","[4, 5]",2.7341203350701093,3.3702936113884157,True,transition
15,27,438.3964233822635,460.82458371103155,20,21,2.7299101418782613e-08,1.992689630653267e-08,0.7299469678816006,-0.13670869110284373,"[8, 15]","[15, 22]","[3, 5]","[5, 4]",2.7341203350701093,3.4402159857315233,True,transition
15,28,438.3964233822635,459.8014009060928,20,21,2.7299101418782613e-08,9.904353269839593e-09,0.36280876494436903,-0.44032222954746425,"[8, 15]","[15, 56]","[3, 5]","[5, 3]",2.7341203350701093,1.8859859352315809,True,transition
15,29,438.3964233822635,450.92928321989325,20,21,2.7299101418782613e-08,5.962901720445488e-09,0.21842849802898018,-0.6606907005400006,"[8, 15]","[15, 110]","[3, 5]","[5, 2]",2.7341203350701093,5.436158091802639,True,transition
16,17,446.3763199658146,458.1680027844744,21,21,5.32571474043413e-09,1.4124835782130766e-08,2.6521953334998503,0.4236055065868464,"[9, 15]","[9, 18]","[4, 5]","[4, 3]",3.3702936113884157,4.341560549656062,True,transition
16,18,446.3763199658146,449.62252502855506,21,21,5.32571474043413e-09,7.330528177745716e-09,1.3764402591994933,0.13875736671878888,"[9, 15]","[9, 124]","[4, 5]","[4, 3]",3.3702936113884157,3.1825502846020264,True,transition
16,27,446.3763199658146,460.82458371103155,21,21,5.32571474043413e-09,1.992689630653267e-08,3.741637935513668,0.5730617601238642,"[9, 15]","[15, 22]","[4, 5]","[5, 4]",3.3702936113884157,3.4402159857315233,True,transition
16,28,446.3763199658146,459.8014009060928,21,21,5.32571474043413e-09,9.904353269839593e-09,1.8597228264299095,0.2694482216792437,"[9, 15]","[15, 56]","[4, 5]","[5, 3]",3.3702936113884157,1.8859859352315809,True,transition
16,29,446.3763199658146,450.92928321989325,21,21,5.32571474043413e-09,5.962901720445488e-09,1.1196434677910325,0.049079750686707335,"[9, 15]","[15, 110]","[4, 5]","[5, 2]",3.3702936113884157,5.436158091802639,True,transition
18,17,449.62252502855506,458.1680027844744,21,21,7.330528177745716e-09,1.4124835782130766e-08,1.9268510316912029,0.28484813986805757,"[9, 124]","[9, 18]","[4, 3]","[4, 3]",3.1825502846020264,4.341560549656062,True,transition
17,34,458.1680027844744,481.71617814609726,21,22,1.4124835782130766e-08,2.7564098277056913e-08,1.9514632737839024,0.29036038234384726,"[9, 18]","[18, 20]","[4, 3]","[3, 2]",4.341560549656062,2.7557464227716437,True,transition
17,35,458.1680027844744,474.88384144188996,21,22,1.4124835782130766e-08,1.9212306099890692e-09,0.1360179077210657,-0.8664039099205436,"[9, 18]","[18, 22]","[4, 3]","[3, 4]",4.341560549656062,4.971037679916861,True,transition
64,18,430.6550375273261,449.62252502855506,20,21,6.222163883789481e-09,7.330528177745716e-09,1.178131645944563,0.07119382178628778,"[33, 124]","[9, 124]","[3, 3]","[4, 3]",3.3924663837018194,3.1825502846020264,True,transition
73,18,441.7262859819902,449.62252502855506,21,21,2.4015810600590035e-08,7.330528177745716e-09,0.3052375911711102,-0.5153619824050407,"[37, 124]","[9, 124]","[3, 3]","[4, 3]",3.8526132212191015,3.1825502846020264,True,transition
20,19,385.6597161682271,391.02106941262457,18,18,4.4598481031063303e-08,1.1086194271527841e-07,2.4857784425003606,0.3954624173516882,"[10, 185]","[10, 21]","[4, 1]","[4, 2]",2.662957410937352,2.785116746716497,True,transition
19,38,391.02106941262457,413.871328680247,18,19,1.1086194271527841e-07,1.0024429835491627e-07,0.9042264270288773,-0.04372280437416742,"[10, 21]","[21, 33]","[4, 2]","[2, 3]",2.785116746716497,2.946444660701175,True,transition
22,21,239.64803465739763,253.55568149045956,11,12,2.6035303572152667e-07,4.625475174050718e-07,1.7766165703549244,0.24959370842032913,"[11, 14]","[11, 12]","[3, 3]","[3, 2]",1.7885237686800366,2.0278770443448515,True,transition
23,21,238.65381107275525,253.55568149045956,12,12,4.283789476964202e-07,4.625475174050718e-07,1.0797624857439678,0.033328234676800586,"[12, 13]","[11, 12]","[2, 2]","[3, 2]",4.0806622434928315,2.0278770443448515,True,transition
25,22,217.5012225556982,239.64803465739763,10,11,1.8162917295995272e-07,2.6035303572152667e-07,1.4334318186810866,0.1563770405160008,"[14, 17]","[11, 14]","[3, 3]","[3, 3]",2.937381648035064,1.7885237686800366,True,transition
