hotspot_id,steps,corrected_geodesic_nm,classification,M2,M4
150,12,243.26828003230347,transition,0.001906454677382412,3.634569436913277e-06
151,20,429.1923022049742,transition,3.565194096328733e-05,1.2710608944497252e-09
152,2,38.23229792713454,source,3.7625713395713722,14.15694308536391
153,2,41.546042232669535,source,4.94506396594469,24.453657627284624
154,24,526.7329646423665,transition,0.00012829564212684595,1.645977178873973e-08
155,24,521.3131197706796,transition,0.00018160427282446525,3.298011190810281e-08
156,13,263.8952005443957,transition,0.0016514635197248254,2.7273317569819087e-06
157,2,33.39684578907303,source,4.621569942543872,21.358908733824972
158,1,19.242269575533626,source,10.45846286988115,109.37944560068264
159,8,155.10717976939523,transition,0.0034315291168872768,1.1775392080045173e-05
160,9,161.84416311079133,transition,0.008956721034254989,8.022285168546576e-05
161,18,376.78716171938794,transition,0.00011964614806714124,1.4315200747304286e-08
162,18,362.0993828908855,transition,0.0002934430467711869,8.610882169835699e-08
163,13,266.27422222749027,transition,0.002107366367585526,4.440993007230615e-06
164,8,150.47567691513873,source,0.006971094487640533,4.859615835561222e-05
165,7,132.86419956236827,source,0.0038576136290318004,1.4881182910891896e-05
166,25,550.0674219454454,transition,5.463128201023789e-05,2.9845769740821417e-09
167,25,546.5753211677218,transition,0.00014473588150952494,2.0948475396339242e-08
168,2,33.22058910192354,source,10.107883312655487,102.16930506225926
169,34,748.0505669949171,remote,2.3782453460608266e-06,5.656050926059981e-12
170,35,761.2862669516774,remote,9.556742125786296e-06,9.133132005877838e-11
171,35,769.1136305544123,remote,1.6710102728802923e-05,2.792275332071469e-10
172,31,682.6088371983453,transition,1.2086605630798882e-05,1.4608603567445924e-10
173,26,576.2332352980724,transition,4.140726658454469e-05,1.714561726003551e-09
174,26,574.7400491344919,transition,5.0163928782211006e-05,2.516419750866738e-09
175,9,173.29120272065404,source,0.014212049162366756,0.00020198234139352962
176,9,172.604757848308,source,0.0002489673628224889,6.198474775078484e-08
177,23,505.2158872618364,transition,4.1151254719318716e-05,1.693425764974251e-09
178,23,503.17533282259797,transition,5.6780524627473945e-05,3.2240279769711754e-09
179,26,573.2035186708827,transition,9.896619417709717e-05,9.794307589898902e-09
180,26,558.8107563049274,transition,4.419347505647926e-05,1.953063237567654e-09
181,19,399.9468888511098,transition,0.00014116928357864198,1.9928766626107035e-08
182,29,640.0244596420999,remote,3.6826015218766524e-05,1.3561553968928236e-09
183,14,288.9050961707903,transition,0.001454178514879285,2.114635153136523e-06
184,24,515.0212834350822,transition,5.002035211343479e-05,2.5020356255520004e-09
185,10,184.86173737080892,source,0.06719754350776876,0.0045155098534784745
186,30,662.6065094094528,remote,2.38221586572456e-05,5.674952430909815e-10
187,30,657.8716781027586,remote,2.615200395164198e-05,6.839273106866978e-10
188,15,311.3466454064709,transition,0.0009652577831477569,9.31722587927322e-07
189,15,308.77256033342184,transition,6.906814479627482e-05,4.770408625599185e-09
190,5,97.14416766058673,source,0.023656611466774988,0.0005596352660899498
191,36,781.7827586007313,remote,1.5116097484236536e-05,2.2849640315294214e-10
192,36,772.3186740283841,remote,9.970535474984252e-07,9.941157765791944e-13
193,14,286.2558704044747,transition,0.0018358513717715154,3.370350259235355e-06
194,6,119.56971611135603,source,0.47211893964459883,0.22289629317114035
195,31,669.4938544041197,remote,3.247277895455519e-05,1.0544813730314027e-09
