upstream,downstream,upstream_graph_distance,downstream_graph_distance,upstream_degree,downstream_degree,upstream_mean_gap_nm,downstream_mean_gap_nm,edge_gap_nm,edge_in_loop,downstream_euclidean_nm,enhancement_ratio,enhancement
79,105,28,29,2,2,3.440200186046468,3.119650918171743,3.8772106875164845,False,528.1460438888331,0.8004309348164188,False
80,123,24,25,2,2,2.6989783490954,1.8355779320909615,2.5819815609066517,True,365.6009670159117,0.9820212990496774,False
81,110,20,21,3,2,3.3528181285431877,4.265357374362313,3.094556656921988,True,393.0764534506397,0.8288484010541194,False
82,97,33,34,2,2,3.0100190903226416,3.041316360338408,1.611473123825352,False,546.674882315243,0.8886502337902671,False
86,83,3,4,3,3,2.661562663102764,2.7600140788263943,1.9534173207280006,False,79.85522959243285,0.22210535888716773,False
83,112,4,5,3,2,2.7600140788263943,3.227387580213808,2.8865705326645674,False,83.98142553356341,0.37386366332933574,False
84,88,12,13,3,2,2.5928221593123943,1.8819308426715136,2.135975480213414,False,154.5505109288721,1.8122807623156538,True
84,93,12,13,3,2,2.5928221593123943,3.2008638490948567,3.7777557678880456,True,186.74554441629923,0.8944310810468239,False
85,138,20,21,3,2,3.237943165066028,2.5348608373379733,1.5707855386801377,False,403.3801160198375,0.7713222064120169,False
89,86,2,3,3,3,3.495871115885116,2.661562663102764,3.1946205981128557,True,58.203741661286166,0.4837263346276674,False
120,86,2,3,2,3,2.857236318105249,2.661562663102764,2.836650070467435,True,58.203741661286166,0.9263987228174383,False
87,95,24,25,3,3,2.594835030471208,3.1598012690098103,2.2881504299093827,True,354.619205415646,0.8643272068229786,False
87,123,24,25,3,2,2.594835030471208,1.8355779320909615,1.0891743032752714,True,365.6009670159117,0.7183320894168667,False
88,114,13,14,2,2,1.8819308426715136,2.3768278474512243,1.627886205129613,False,160.95734536390725,0.5703287736496584,False
147,89,1,2,3,3,2.952233112354513,3.495871115885116,3.730348001051901,True,38.48453915106726,0.6725694565066429,False
94,90,8,9,4,4,2.291050345026786,3.302684778286343,2.7369723913051693,True,157.45096906525413,0.7809804346604791,False
91,104,18,19,2,2,2.112600692064021,3.6764066820096186,2.8037476864170827,True,287.0791082522324,0.7166268801374946,False
