particle_id,E_inc_x_real,E_inc_x_imag,E_inc_y_real,E_inc_y_imag,E_inc_z_real,E_inc_z_imag,E_scat_x_real,E_scat_x_imag,E_scat_y_real,E_scat_y_imag,E_scat_z_real,E_scat_z_imag,E_total_x_real,E_total_x_imag,E_total_y_real,E_total_y_imag,E_total_z_real,E_total_z_imag
67,2.444177660156972e-14,0.0,0.0,0.0,0.0,0.0,-0.011607634984867334,0.0035679176813707652,0.0013790605417087045,0.021558546408392602,0.0,0.0,-0.011607634984842892,0.0035679176813707652,0.0013790605417087045,0.021558546408392602,0.0,0.0
68,8.276837763480134e-33,0.0,0.0,0.0,0.0,0.0,-0.003035587339686786,-0.0057601450096195755,-0.006117761475017936,-0.004350110805855359,0.0,0.0,-0.003035587339686786,-0.0057601450096195755,-0.006117761475017936,-0.004350110805855359,0.0,0.0
69,2.4323547881528366e-115,0.0,0.0,0.0,0.0,0.0,-0.0010623475807810918,-0.00010686772096017144,-0.001853362685449955,0.004474045991703776,0.0,0.0,-0.0010623475807810918,-0.00010686772096017144,-0.001853362685449955,0.004474045991703776,0.0,0.0
70,2.982141360481464e-106,0.0,0.0,0.0,0.0,0.0,0.00014623869969814207,0.00031485112213332044,-0.00265756360849243,0.0012880395614584925,0.0,0.0,0.00014623869969814207,0.00031485112213332044,-0.00265756360849243,0.0012880395614584925,0.0,0.0
71,6.124092260864212e-98,0.0,0.0,0.0,0.0,0.0,-0.0011701538155834215,0.000576937913460653,0.002734334663692686,0.003948919827966898,0.0,0.0,-0.0011701538155834215,0.000576937913460653,0.002734334663692686,0.003948919827966898,0.0,0.0
72,6.7624438703663586e-40,0.0,0.0,0.0,0.0,0.0,-0.0022635805869794636,-0.0048063380490427346,0.0021171692134185,-0.0018716791071261034,0.0,0.0,-0.0022635805869794636,-0.0048063380490427346,0.0021171692134185,-0.0018716791071261034,0.0,0.0
73,6.777145662072194e-112,0.0,0.0,0.0,0.0,0.0,-1.7371091842528088e-06,0.00019029885167626655,-0.002029717210945957,5.3967032864797865e-05,0.0,0.0,-1.7371091842528088e-06,0.00019029885167626655,-0.002029717210945957,5.3967032864797865e-05,0.0,0.0
74,1.490231169231471e-141,0.0,0.0,0.0,0.0,0.0,-0.0014144388929709262,-0.0010004650340879558,-0.00034724006755335095,-0.0023333219702327494,0.0,0.0,-0.0014144388929709262,-0.0010004650340879558,-0.00034724006755335095,-0.0023333219702327494,0.0,0.0
75,1.5874935461248425e-21,0.0,0.0,0.0,0.0,0.0,-0.008173571040365986,-0.0008918955514524118,-0.00656060880940849,-0.0033389179055446578,0.0,0.0,-0.008173571040365986,-0.0008918955514524118,-0.00656060880940849,-0.0033389179055446578,0.0,0.0
76,2.1783379524193385e-05,0.0,0.0,0.0,0.0,0.0,-0.013428143285700796,0.037775705515101815,0.031245908572843033,0.02427882277654953,0.0,0.0,-0.013406359906176602,0.037775705515101815,0.031245908572843033,0.02427882277654953,0.0,0.0
77,3.756940070748334e-148,0.0,0.0,0.0,0.0,0.0,-0.001672982193758463,-0.00013039331901173234,0.0009020785121138597,-0.0013637676447796109,0.0,0.0,-0.001672982193758463,-0.00013039331901173234,0.0009020785121138597,-0.0013637676447796109,0.0,0.0
78,7.594909997432608e-32,0.0,0.0,0.0,0.0,0.0,0.009810582255966604,-0.008368558873847411,-0.009907261054314635,0.0017218326735738711,0.0,0.0,0.009810582255966604,-0.008368558873847411,-0.009907261054314635,0.0017218326735738711,0.0,0.0
79,5.267789628759454e-118,0.0,0.0,0.0,0.0,0.0,-0.00014128466882977069,0.00011338097176546453,-0.0016400316095694393,-0.0006467250278829704,0.0,0.0,-0.00014128466882977069,0.00011338097176546453,-0.0016400316095694393,-0.0006467250278829704,0.0,0.0
80,7.793779945908073e-33,0.0,0.0,0.0,0.0,0.0,0.009873898629341803,-0.0064848509719517625,-0.010055834038805507,0.0028441057750894666,0.0,0.0,0.009873898629341803,-0.0064848509719517625,-0.010055834038805507,0.0028441057750894666,0.0,0.0
81,6.333521286594358e-88,0.0,0.0,0.0,0.0,0.0,0.000421900102690307,0.0025854312219007265,0.0028882184996464515,0.0033307636522325627,0.0,0.0,0.000421900102690307,0.0025854312219007265,0.0028882184996464515,0.0033307636522325627,0.0,0.0
82,2.094157593557779e-17,0.0,0.0,0.0,0.0,0.0,-0.008197864968623039,0.00158077995176236,-0.010375695345814059,0.0001374606618479548,0.0,0.0,-0.008197864968623018,0.00158077995176236,-0.010375695345814059,0.0001374606618479548,0.0,0.0
83,5.804331684500235e-21,0.0,0.0,0.0,0.0,0.0,-0.005293533777456238,-0.000617716473919664,-0.005675444182912018,-0.0070327982343058645,0.0,0.0,-0.005293533777456238,-0.000617716473919664,-0.005675444182912018,-0.0070327982343058645,0.0,0.0
84,5.289504399957749e-119,0.0,0.0,0.0,0.0,0.0,-0.0036279715767717794,0.0006568978833532689,-0.003074465532698264,0.001007413502580868,0.0,0.0,-0.0036279715767717794,0.0006568978833532689,-0.003074465532698264,0.001007413502580868,0.0,0.0
85,3.504237041106134e-54,0.0,0.0,0.0,0.0,0.0,0.0015901500182333406,-0.0011865794260373327,0.0025088718825814166,-0.0010386860978050738,0.0,0.0,0.0015901500182333406,-0.0011865794260373327,0.0025088718825814166,-0.0010386860978050738,0.0,0.0
86,1.2855372951350808e-122,0.0,0.0,0.0,0.0,0.0,-0.0011674040335820947,-0.0006896646120307201,-0.002982917878177334,0.002899349094941203,0.0,0.0,-0.0011674040335820947,-0.0006896646120307201,-0.002982917878177334,0.002899349094941203,0.0,0.0
87,9.05568697243652e-32,0.0,0.0,0.0,0.0,0.0,0.008649360429366563,-0.007549381103627042,-0.005830162134036572,-0.0005275785359542292,0.0,0.0,0.008649360429366563,-0.007549381103627042,-0.005830162134036572,-0.0005275785359542292,0.0,0.0
