particle_id,x_nm,y_nm,radius_nm,degree,incident_intensity_v2_per_m2,scattered_intensity_v2_per_m2,total_intensity_v2_per_m2,dipole_intensity_c2_m2,normalized_dipole_intensity,directly_illuminated,remote
48,504.15412749886264,-74.74442158256065,21.15603147462654,4,2.672435398933408e-209,1.1241663884568926e-05,1.1241663884568926e-05,1.8858952913759374e-71,4.302076873301931e-06,False,True
49,-242.23763617087747,-236.28871050744186,13.308043795463183,3,2.9554490801216486e-18,0.001898596716329368,0.0018985966707441597,1.973759937241466e-70,4.5025124238266725e-05,False,True
50,89.06656891359057,-184.24290640824876,20.49081275840537,4,4.075330236784881e-71,7.276937007076179e-05,7.276937007076179e-05,1.007856005636278e-70,2.2991064420670276e-05,False,True
51,318.7626008541226,1.3819033282757207,20.108041038855895,3,6.090101325257628e-159,2.920526670632107e-05,2.920526670632107e-05,3.6122804026699974e-71,8.240281446840174e-06,False,True
52,180.99537615963155,-133.89104272649666,19.897502564853813,3,1.361735222817734e-98,2.9999018269933623e-05,2.9999018269933623e-05,3.483403736084445e-71,7.946289871930714e-06,False,True
53,122.99895193209332,-208.80067280471218,17.699280851302305,3,8.093753844078719e-76,3.930810494498747e-05,3.930810494498747e-05,2.261274239548023e-71,5.158385863011167e-06,False,True
54,543.963066601762,-75.95452706970624,16.49937288711957,3,1.2314605048136843e-224,7.162927333720505e-06,7.162927333720505e-06,2.704245068627293e-72,6.168884467066182e-07,False,True
55,222.20196562886798,-154.59221958576657,22.599830284356702,2,1.761642267773399e-106,1.5158897206962624e-05,1.5158897206962624e-05,3.778744690208692e-71,8.62001735525766e-06,False,True
56,358.71922956390205,-80.750331047708,17.481957230561008,2,3.79090046642511e-157,1.8827422070390683e-05,1.8827422070390683e-05,1.005706396206533e-71,2.2942027843419e-06,False,True
57,581.1100471964115,-79.61280466124035,17.423582200173506,2,3.9128830915503075e-239,4.195879145692355e-06,4.195879145692355e-06,2.1967892094220875e-72,5.011283551420706e-07,False,True
58,-281.636740431808,-328.545343055725,18.158810424933616,3,1.011275517962673e-08,0.014360904949228643,0.014368233265087285,9.639606107955017e-69,0.0021989729066302947,False,True
59,146.67761697473995,-242.18459973279002,20.389489139557504,3,5.461204554363003e-78,4.0254731888262456e-05,4.0254731888262456e-05,5.4119234364048505e-71,1.2345600926152822e-05,False,True
60,167.44013552323543,-91.32360354575135,19.358271982686748,3,2.0797464988371292e-101,4.7325775112543647e-05,4.7325775112543647e-05,4.660274234369747e-71,1.0630949713172798e-05,False,True
61,-276.2490324331073,-251.7176079392276,21.502738410428776,3,1.520811323932753e-14,0.001657810894297727,0.0016578080554076205,3.065994262257254e-69,0.0006994101459211928,False,True
62,-302.0197104667018,-363.44566568758495,20.350953045522967,2,6.538845386617592e-06,0.025037030748871328,0.025490440622467574,3.388310484029029e-68,0.007729364530239977,False,True
63,609.7272200850841,-105.62815773498379,17.91871739041087,2,3.6641015676843254e-247,3.485206998344914e-06,3.485206998344914e-06,2.1587619610476117e-72,4.924536346241683e-07,False,True
64,207.66289795282728,-95.27166597986034,18.204227085200493,2,6.222722772457973e-111,4.262702598474148e-05,4.262702598474148e-05,2.9030161302960137e-71,6.622318118126829e-06,False,True
