particle_id,x_nm,y_nm,dipole_real_Cm,dipole_imag_Cm,local_field_real_Vm,local_field_imag_Vm,field_magnitude_Vm,normalized_E2,hotspot_intensity,propagation_distance_nm
31,180.7685835037696,-9.487864320100146,-7.253682092815026e-36,3.4730920361460604e-36,-0.009110228243911694,0.004567027392939782,0.010190878169423314,0.00010385399786402868,0.00010385399786402868,180.7685835037696
32,179.83673803856493,28.925130100515748,-7.212869955106866e-36,3.3504759356557803e-36,-0.009061340365169085,0.004410740048679085,0.010077823028336238,0.00010156251699046418,0.00010156251699046418,179.83673803856493
33,180.8104306326483,68.01654485865451,-7.105023472897867e-36,2.7463606263552058e-36,-0.00893859382969658,0.003642874004128656,0.009652408542029608,9.316899066224615e-05,9.316899066224615e-05,180.8104306326483
34,179.78646974041237,107.32386762238652,-7.732906457871314e-36,1.9891398311739497e-36,-0.0097515030530424,0.002697946456269294,0.010117842006791333,0.00010237072687439127,0.00010237072687439127,179.78646974041237
35,225.08196457066165,-106.77017504712005,-7.292991173051272e-36,-3.8764375419644034e-38,-0.009240776779780753,0.00011857011422922803,0.009241537445994766,8.540601436572347e-05,8.540601436572347e-05,225.08196457066165
36,225.63794150393443,-68.18796139740016,-6.736405082766928e-36,5.372398251379192e-37,-0.008522364043953318,0.0008355438250419812,0.008563224998867783,7.332882238123414e-05,7.332882238123414e-05,225.63794150393443
37,226.16958133749364,-29.696563618261838,-6.924821103872027e-36,7.779193760138189e-37,-0.008755544723761178,0.0011448059047760172,0.008830070439661976,7.797014396939224e-05,7.797014396939224e-05,226.16958133749364
38,226.59467823683894,10.569826475094814,-6.894703125012488e-36,7.1455911332815335e-37,-0.008718843424747675,0.0010638388741980092,0.008783506350855598,7.714998381552063e-05,7.714998381552063e-05,226.59467823683894
39,223.68757539694514,48.145415340407865,-6.741760486364987e-36,5.592107986174057e-37,-0.008528643931118579,0.0008635031744282685,0.00857224620715326,7.348340503605346e-05,7.348340503605346e-05,223.68757539694514
40,225.13766797424535,87.6117001258131,-6.514033389429894e-36,-1.8055822650398382e-38,-0.008253396838580831,0.00012689685315235628,0.00825437230723427,6.813466218643601e-05,6.813466218643601e-05,225.13766797424535
