gap_nm,polarization_deg,lmax,Egap_real,Egap_imag,Egap_abs,Egap_phase_deg,relative_magnitude_change,phase_change_deg,convergence_status
1.5,0,7,13.01726961888099,0.15326517704854659,13.018171858795602,0.6745686538518136,0.03900529891044757,0.013963849577180554,PENDING
1.5,0,8,13.360761678292258,0.15949162406782627,13.361713595279266,0.6839252971566714,0.025710904071842837,0.009356643304869294,PENDING
1.5,0,9,13.590273881245789,0.16372223409800418,13.591260027576896,0.6902097297034777,0.01688926794365468,0.006284432546806329,PENDING
1.5,0,10,13.742472238007291,0.16656976930421638,13.743481680434808,0.6944367274096414,0.011075916306900236,0.004226997706155089,PENDING
1.5,0,11,13.842923215221187,0.16847453684728217,13.843948382310431,0.697280712682687,0.007257084402597025,0.002843985273045746,PENDING
1.5,0,12,13.909012100092855,0.169743145559771,13.910047819328085,0.6991929401368614,0.004751920185767299,0.001912227454170079,PENDING
1.5,0,13,13.952394527066083,0.17058530416088852,13.953437296411922,0.7004769683336354,0.003109590573427684,0.0012840281967783085,PASS
1.5,30,1,4.410099357853238,0.030819160196469887,4.410207043526728,0.4003943946933838,,,PENDING
1.5,30,2,5.703551354923638,0.048941126049129924,5.7037613284630195,0.4916324887687598,0.22678969375544736,0.0912380940753792,PENDING
1.5,30,3,6.964994759984016,0.06795601239986014,6.96532626846913,0.5590053250688477,0.1811207244830733,0.06737283630008051,PENDING
1.5,30,4,8.008319635418967,0.08463180922694437,8.008766816818305,0.6054784519775964,0.13028729293977742,0.04647312690875083,PENDING
1.5,30,5,8.793773348084269,0.09773084181995022,8.794316404071441,0.6367385217094701,0.08932469007931715,0.031260069731871454,PENDING
1.5,30,6,9.352214829760516,0.1073493624972545,9.352830914093396,0.6576405064526052,0.05971609186052446,0.02090198474314775,PENDING
1.5,30,7,9.735962922394602,0.11413194691760611,9.736631867722515,0.671631496096541,0.03941824635492705,0.013990989643929197,PENDING
1.5,30,8,9.994437382388714,0.11880056699091432,9.995143428946196,0.6810238812152822,0.025863717020310584,0.009392385118729862,PENDING
1.5,30,9,10.166518376629385,0.12196774279322567,10.167249973942072,0.6873446150461816,0.016927541413555493,0.006320733830904146,PENDING
1.5,30,10,10.280312712119148,0.12409718491913688,10.281061694701739,0.6916034378174809,0.011070035774449162,0.004258822771305404,PENDING
1.5,30,11,10.35526552435552,0.12552065418160097,10.356026241494957,0.6944729241341836,0.0072387366587434105,0.0028694863167118,PENDING
1.5,30,12,10.404513902145023,0.12646841100716139,10.405282494911502,0.6964044093938812,0.004733773776986082,0.0019314852596892251,PENDING
1.5,30,13,10.436819008827028,0.12709755596783204,10.43759286482023,0.6977023929095002,0.0030955767605795447,0.0012979835156272657,PASS
1.5,60,1,0.9977883289386871,0.004932504022309321,0.9978005206263363,0.2832357852187778,,,PENDING
1.5,60,2,1.5778445407858075,0.012260429320034759,1.5778921740773948,0.4452002078438492,0.36763706860403333,0.1619644226250614,PENDING
1.5,60,3,2.111331383398952,0.01951115024069383,2.111421534300777,0.5294643701814877,0.2526872780048949,0.08426416233763234,PENDING
1.5,60,4,2.530709227887807,0.02560988200691145,2.5308388060429508,0.5797932259657942,0.16572263343707236,0.050328855784300686,PENDING
1.5,60,5,2.8321125983199154,0.030250176521731564,2.832274146819474,0.6119606748057517,0.10642873011252194,0.0321674488399708,PENDING
1.5,60,6,3.0375191873518705,0.03357157276348269,3.0377047032304807,0.6332243508730953,0.06762690138792603,0.021263676067349024,PENDING
1.5,60,7,3.173349529421805,0.03586548665572247,3.173552200455295,0.6475345705507263,0.042806132889613366,0.01431021967763968,PENDING
1.5,60,8,3.2617887905816194,0.03741845283709081,3.2620034112454,0.6572545069764902,0.02711560953160843,0.009719936425767628,PENDING
1.5,60,9,3.319007367396571,0.03845876018366533,3.319230178982407,0.663881030245715,0.01724097596465912,0.0066265232692330756,PENDING
